2,52,20
6,56,-12
5,92,21
7,67,5
-4,0,14
3,59,23
10,55,22
9,96,8
2,25,14
2,50,3
6,42,13
6,65,24
7,78,6
5,35,16
4,96,0
2,56,5
5,33,27
1,33,13
1,48,18
7,76,28
2,65,21
7,47,12
9,65,4
9,98,11
5,60,27
5,81,21
7,39,28
6,17,29
8,35,28
5,41,26
8,0,25
5,-2,27
1,0,9
3,0,7
6,77,25
9,43,21
7,77,19
1,17,5
9,24,2
2,82,7
5,45,14
5,51,19
2,57,29
5,56,1
5,19,15
2,52,1
1,71,12
2,91,22
2,46,11
9,13,4
9,77,22
9,52,20
9,29,3
4,82,15
8,26,11
4,29,18
5,3,1
1,40,22
1,93,6
6,22,29
8,25,-4
4,22,21
1,59,0
9,57,3
9,66,17
2,57,18
8,79,20
4,36,4
8,78,5
7,100,18
9,50,20
7,0,23
5,12,7
6,67,29
8,43,17
5,90,6
7,74,1
5,78,25
4,97,13
5,96,4
100,57,10
6,81,8
2,-2,24
8,80,19
3,37,8
1,1,20
1,-3,8
5,ca,24
4,88,27
6,a,11
5,35,19
7,86,4
1,86,7
7,80,-24
9,12,10
8,86,2
6,77,2
1,6,19
9,35,16
9,-9,11
2,59,20
4,70,6
9,17,11
3,7,21
1,9,11
5,13,1
6,2,24
9,14,22
5,18,23
6,38,-18
5,26,3
6,14,12
2,75,12
1,2,25
7,23,3
9,48,13
1,28,7
8,5,18
7,26,6
1,52,27
9,100,11
2,7,18
8,53,5
3,41,13
6,2,7
5,100,7
3,36,20
4,92,0
5,90,15
2,21,13
9,90,-8
1,43,5
1,83,18
1,32,21
7,66,15
3,23,8
5,21,10
8,62,22
7,9,14
7,-2,18
2,72,25
2,4,9
2,3,24
5,s,29
1,19,22
6,3,28
6,30,11
3,45,5
8,27,19
4,36,21
5,82,23
9,72,0
7,22,21
8,63,22
5,74,29
1,53,19
5,28,7
6,5,10
7,0,26
7,31,5
9,98,-22
7,56,15
9,27,23
9,1,4
4,31,1
5,2,7
7,95,17
8,91,21
4,32,18
7,18,5
3,44,8
6,73,5
3,43,3
1,91,20
9,90,14
2,2,16
9,31,22
9,42,13
8,51,15
6,62,4
1,-3,22
8,50,13
2,79,0
4,72,13
4,7,20
6,25,29
1,68,22
1,32,25
5,53,9
6,37,8
3,40,19
5,83,26
2,32,27
9,68,3
9,69,11
2,31,19
2,98,10
6,44,16
9,93,27
5,0,11
3,25,0
3,13,12
4,31,17
6,53,23
7,52,3
7,93,14
4,48,14
2,28,-20
6,91,-21
1,69,-14
3,13,24
4,28,3
1,80,10
6,17,15
5,21,8
5,15,27
7,66,15
2,38,13
4,78,7
3,49,5
1,35,5
1,42,1
1,37,12
8,45,21
8,85,10
9,n,1
8,50,2
7,30,19
9,65,16
1,29,0
6,9,20
8,79,11
4,13,27
3,71,1
3,98,3
7,10,11
1,34,23
7,48,3
2,26,-24
3,12,28
3,9,23
7,61,1
3,54,14
7,73,21
7,25,5
7,0,24
9,32,27
9,18,2
9,84,15
5,10,11
1,52,1
1,85,29
7,20,2
7,49,25
4,69,19
8,68,14
5,84,-24
5,2,4
8,9,11
3,65,27
2,91,1
6,11,5
5,-2,21
6,100,22
1,43,4
2,80,21
2,49,2
4,10,21
2,42,10
8,41,19
2,94,6
6,64,2
4,94,-28
4,26,17
7,49,20
9,36,12
9,58,6
4,2,26
7,28,20
8,-4,20
6,5,24
8,73,17
8,14,4
5,55,21
4,34,16
7,66,14
8,4,-26
2,88,11
9,55,4
7,72,17
2,58,2
8,a,10
8,53,23
-41,16,14
4,23,0
4,-89,29
8,64,1
4,87,21
4,96,3
1,84,20
2,44,17
9,100,8
8,50,1
5,14,15
2,21,23
9,100,4
9,14,12
9,18,13
3,79,4
6,44,4
5,13,14
6,33,12
4,8,2
2,59,2
5,65,14
4,7,23
1,85,21
5,41,4
1,66,14
9,62,23
9,54,10
9,12,2
8,85,27
6,20,17
1,43,2
3,21,3
3,69,24
7,24,22
5,52,11
8,37,23
1,55,21
2,36,20
9,23,29
7,96,24
2,45,9
9,46,26
2,31,0
6,43,20
8,41,21
3,61,26
9,72,29
9,90,10
8,87,25
5,9,5
4,6,23
5,24,0
8,39,28
4,66,26
4,98,16
3,69,27
2,4,8
2,33,16
9,74,20
12,80,10
9,18,24
2,56,11
6,r,25
4,77,2
4,89,18
5,47,4
4,18,6
9,2,28
7,54,9
6,71,12
8,80,24
2,83,21
7,90,7
8,62,14
3,63,11
1,82,8
8,94,4
2,76,21
2,67,23
5,63,14
9,2,16
8,77,3
1,74,29
6,87,12
7,17,15
2,86,24
7,80,5
2,60,7
3,24,5
4,65,23
2,35,9
3,32,15
8,57,18
7,92,9
9,53,26
8,50,11
1,50,22
4,78,16
2,70,22
7,82,12
4,90,13
4,32,29
5,26,14
3,55,1
5,23,12
6,20,4
6,23,9
1,34,18
1,45,23
3,43,9
9,47,0
7,1,8
8,71,14
7,16,26
6,21,18
4,29,18
9,19,26
9,98,18
3,89,0
2,64,7
4,55,25
8,7,28
7,24,15
3,54,11
8,46,10
1,76,0
3,69,23
9,1qa,0
8,76,9
6,39,19
1,53,6
3,36,23
7,37,13
4,31,29
8,94,28
3,53,25
3,99,10
2,28,23
6,79,24
4,15,16
9,74,9
2,46,9
7,42,13
5,18,22
7,28,27
8,94,11
4,22,28
3,58,6
5,38,17
7,95,20
3,26,18
3,42,3
5,85,8
6,62,28
6,98,4
6,20,24
1,1,10
2,61,28
7,69,15
6,23,21
7,10,5
1,80,6
6,7,24
3,22,15
9,77,7
2,17,17
6,96,10
7,29,11
9,2,22
4,16,10
1,4,14
8,1,0
5,33,10
2,6,23
3,96,16
8,39,4
6,66,26
2,36,20
2,18,2
3,78,24
2,c2a,12
8,47,2
-3,13,3
4,6,21
1,27,0
9,18,22
1,40,11
8,40,18
8,46,22
8,34,18
3,92,27
7,7,0
